Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
Ceenik Exports,531119,CEENIKEXPO,Textiles - Products,6.64,68.57,0.41,1.10,1.36,0.21,3.15,-5.71,,0.00,2.22,0.41,30.55,0.00
Ceeta Industries,514171,,Miscellaneous,23.70,71.91,1.24,6.16,0.03,1.34,1.14,0.79,79.93,0.00,34.37,0.30,23.70,0.00
Ceinsys Tech,538734,,Computers - Software - Medium / Small,164.70,75.00,198.36,2.79,0.97,2.05,8.65,2.20,16.09,1.37,183.10,9.72,248.00,125.63
Celebrity Fash.,532695,CELEBRITY,Textiles - Products,12.25,41.82,251.92,1.91,2.02,1.91,0.25,-16.62,12.29,0.00,58.52,0.89,184.37,0.00
Cella Space,532701,,Paper,5.60,55.15,4.14,0.55,,,8.85,,50.79,0.00,10.72,0.06,38.00,0.00
Cenlub Industrie,522251,,Engineering,82.20,51.64,43.49,2.29,0.24,1.14,16.34,12.70,9.46,0.00,38.33,8.96,113.90,0.00
Centenial Surgic,531380,,Healthcare,53.10,44.78,39.28,3.15,0.46,0.66,8.65,3.30,22.80,0.00,19.38,0.54,100.00,0.00
Centerac Tech.,531621,,Computers - Software - Medium / Small,2.30,72.68,0.14,1.40,0.00,84.60,-66.67,-66.67,,0.00,2.54,0.00,15.53,0.00
Central Bank,532885,CENTRALBK,Banks - Public Sector,23.05,93.08,22289.68,7.00,15.49,0.92,3.91,-4.63,,0.00,20009.57,38953.77,212.13,0.00
Centrum Capital,501150,CENTRUM,Finance & Investments,40.00,38.16,520.42,1.54,3.35,2.87,8.41,-7.80,,0.00,1664.13,472.27,90.70,0.00
Centum Electron,517544,CENTUM,Electronics - Components,529.25,58.80,802.16,1.78,1.67,3.06,8.34,8.01,52.18,0.76,681.93,59.86,931.50,30.07
Century Enka,500280,CENTENKA,Textiles - Manmade,473.70,24.80,1541.68,3.72,0.01,0.95,8.92,6.88,7.21,1.69,1035.03,59.88,518.00,24.65
Century Extrus.,500083,CENTEXT,Aluminium and Aluminium Products,9.35,52.04,240.79,3.76,0.75,1.41,11.35,4.22,11.97,0.00,74.80,11.30,15.48,0.00
Century Plyboard,532548,CENTURYPLY,Miscellaneous,512.15,73.05,2384.87,2.26,0.13,8.98,20.01,16.24,48.61,0.20,11378.59,90.84,518.00,11.62
Century Textiles,500040,CENTURYTEX,Paper,933.30,50.21,3058.63,1.53,0.30,2.97,0.75,-0.88,334.44,0.00,10424.56,124.93,979.90,-36.70
Cera Sanitary.,532443,CERA,Ceramics - Tiles / Sanitaryware,5412.15,54.48,1306.50,1.43,0.09,7.89,15.39,11.97,62.55,0.24,7038.97,10.41,5700.00,16.77
Cerebra Integr.,532413,CEREBRAINT,Computers - Hardware,54.85,7.10,80.22,3.18,0.06,2.27,2.70,0.58,103.70,0.00,664.71,6.28,73.00,0.00
CES,512341,,Computers - Software - Medium / Small,0.30,74.84,315.81,1.84,0.00,0.01,30.86,23.24,0.04,0.00,1.09,75.39,0.30,0.00
CESC,500084,CESC,Power Generation And Supply,90.25,49.92,11880.00,2.15,1.42,1.21,13.00,13.67,8.59,4.99,11963.27,1857.93,96.90,45.04
CG Power & Indu.,500093,CGPOWER,Electric Equipment,116.90,53.23,3651.26,0.59,18.99,311.33,4.43,,,0.00,15803.05,544.54,129.30,0.00
CG-VAK Software,531489,,Computers - Software - Medium / Small,149.10,52.47,43.69,6.98,0.08,2.38,30.38,24.31,11.24,0.67,75.30,14.73,221.50,7.18
Chalet Hotels,542399,CHALET,Hotels,248.10,71.66,311.31,1.18,1.26,3.31,-2.67,-8.46,,0.00,5086.64,45.77,402.00,0.00
Chamanlal Setia,530307,CLSEL,Food - Processing - Indian,119.35,73.87,844.36,6.43,0.27,1.77,29.52,26.33,8.35,0.47,617.44,63.21,219.90,3.54
Chambal Brewer,512301,,Trading,3.87,16.08,0.00,20.00,0.00,0.71,0.49,0.49,,0.00,2.90,0.19,99.90,0.00
Chambal Fert.,500085,CHAMBLFERT,Fertilizers,384.65,60.38,13039.86,4.20,0.73,3.01,20.18,30.57,10.88,1.95,16009.44,907.40,451.00,18.86
Chandni Machines,542627,,Trading,9.60,46.50,67.85,1.06,0.04,0.60,1.25,0.58,10.00,0.00,3.10,2.10,24.95,0.00
Chandni Textiles,522292,,Textile Machinery,50.05,46.50,87.65,1.38,0.15,3.91,2.44,-0.15,192.31,0.00,80.77,4.73,127.88,0.00
Chandra Bhagat,542934,,Trading,135.00,71.80,70.70,4.80,1.17,3.96,6.76,0.74,536.11,0.00,101.86,0.05,148.50,0.00
Chandra Pr. Intl,530309,,Trading,170.60,63.18,367.58,2.50,0.15,3.28,42.74,34.82,4.56,0.59,63.12,1.12,178.95,6.48
Chandrima Mercan,540829,,Trading,4.10,0.00,13.36,0.46,0.19,,-175.77,-211.43,,0.00,0.91,0.05,41.60,0.00
Charms Industrie,531327,,Finance & Investments,2.60,24.37,0.00,2.30,0.00,2.09,-40.00,-42.75,,0.00,1.07,0.23,16.75,0.00
Chart.Logistics,531977,,Miscellaneous,9.38,52.69,139.00,46.66,1.28,2.14,4.02,-5.31,,0.00,93.18,8.32,61.50,0.00
Charter. Capital,511696,,Finance & Investments,57.85,74.37,1.40,15.95,0.01,0.33,1.37,1.06,48.36,0.00,17.41,3.26,100.05,0.00
CHD Chemicals,539800,,Trading,8.89,27.99,74.37,1.54,0.48,0.70,2.85,0.47,,1.69,8.99,0.63,74.95,250.00
Chembond Chem.,530871,CHEMBOND,Chemicals,256.90,65.90,302.40,2.57,0.01,1.18,10.20,7.23,16.11,0.88,345.49,25.41,447.50,14.85
Chemcon Special.,543233,CHEMCON,Chemicals,443.05,74.47,255.04,6.80,0.02,4.59,28.89,22.57,26.62,0.00,1622.92,121.85,743.80,0.00
Chemcrux Enterp.,540395,,Chemicals,134.50,72.94,53.33,3.25,0.02,4.87,31.55,23.99,22.66,0.50,199.18,2.71,165.99,11.09
Chemfab Alka.,541269,CHEMFAB,Chemicals,204.85,73.70,187.46,1.54,0.12,1.08,1.58,-2.95,,0.00,288.21,2.70,314.95,0.00
Chemo Pharma Lab,506365,,Pharmaceuticals - Indian - Bulk Drugs,24.75,27.89,0.00,182.67,0.00,0.34,2.67,2.21,19.53,0.00,3.71,10.87,57.87,0.00
Chemplast Sanmar,543336,CHEMPLASTS,Chemicals,771.10,54.99,3798.73,0.67,1.16,15.25,40.44,21.53,28.90,0.00,12191.83,651.26,826.35,0.00
Chemtech Indust.,537326,,Trading,15.00,66.09,12.96,2.15,1.40,1.87,9.59,7.29,191.44,0.00,17.23,1.58,54.60,0.00
Chennai Ferrous,539011,,Steel - Sponge Iron,131.95,70.85,58.96,0.66,,,,,4.22,0.00,47.56,0.35,131.95,0.00
Chennai Meena,523489,,Healthcare,26.20,55.78,27.77,0.50,,,-1.50,,4.89,0.00,19.57,3.10,41.50,0.00
Cheviot Company,526817,,Textiles - Jute - Yarn / Products,1288.20,74.77,494.52,6.92,0.01,1.18,12.57,10.29,9.44,0.00,807.30,13.33,2055.55,144.90
Chitradurga Spin,521244,,Textiles - Cotton/Blended,16.15,17.88,0.00,104.00,0.00,0.71,-7.44,-7.44,,0.00,0.74,1.01,18.80,0.00
CHL,532992,,Hotels,15.17,72.84,29.02,0.23,,,-10.44,,,0.00,83.16,1.89,49.59,0.00
Choice Intl.,531358,,Finance & Investments,150.65,64.31,186.31,2.39,0.61,2.41,10.49,7.66,32.33,0.00,599.66,48.18,233.40,0.00
Choksi Imaging,530427,,Photographic And Allied Products,50.45,41.03,8.67,5.09,0.00,1.13,16.39,11.59,12.62,4.96,19.68,7.33,73.60,51.31
Choksi Laborator,526546,,Miscellaneous,21.90,31.48,26.54,1.55,2.06,0.86,0.00,-13.80,,0.00,15.25,0.31,98.35,0.00
Chola Financial,504973,CHOLAHLDNG,Finance & Investments,753.20,48.80,14257.57,0.72,11.85,2.63,10.87,16.53,20.14,0.07,14139.83,6203.88,763.05,1.25
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance & Investments,573.10,51.61,9935.51,4.73,6.64,4.90,9.70,17.09,33.17,0.35,47034.11,5279.77,620.75,10.79
Chordia Food,519475,,Food - Processing - Indian,132.00,72.34,74.07,3.98,0.18,1.47,3.54,1.72,,0.00,53.17,2.07,230.20,0.00
Chothani Foods,540681,,Food - Processing - Indian,9.20,48.45,4.01,3.04,0.13,0.73,2.87,1.39,52.78,0.00,4.75,0.60,12.00,0.00
Chowgule Steam,501833,CHOWGULSTM,Shipping,10.23,72.13,34.80,0.40,,,,,9.53,0.00,37.15,4.62,104.55,0.00
CIAN Agro,519477,,Solvent Extraction,43.60,74.26,299.15,3.04,2.17,2.43,12.90,5.46,37.20,0.00,122.02,1.86,53.00,0.00
Cian Healthcare,542678,,Pharmaceuticals - Indian - Bulk Drugs & Formln,21.75,70.89,73.73,3.38,1.26,0.87,6.56,0.12,725.86,0.00,50.81,4.45,62.50,0.00
Cigniti Tech.,534758,CIGNITITEC,Computers - Software - Medium / Small,622.30,37.23,942.48,3.42,0.12,4.69,36.36,32.94,18.06,0.40,1745.71,127.92,678.00,6.64
CIL Nova Petro.,533407,CNOVAPETRO,Textiles - Manmade,23.90,74.51,210.77,1.09,0.23,0.76,8.79,6.44,6.49,0.00,64.77,1.22,56.40,0.00
Cil Securities,530829,,Finance & Investments,17.55,75.00,6.39,1.55,0.00,0.41,5.47,3.54,8.28,0.00,8.78,20.09,68.40,0.00
Cindrella Fin.,531283,,Finance & Investments,5.30,29.97,0.12,1.00,0.00,0.53,0.93,-5.14,,0.00,2.20,0.01,11.49,0.00
Cindrella Hotels,526373,,Hotels,22.40,60.95,3.16,1.29,0.12,1.00,-7.94,-9.48,,0.00,8.06,0.03,59.85,0.00
Cineline India,532807,CINELINE,Entertainment / Electronic Media Software,125.50,65.39,27.82,3.10,2.53,2.98,8.36,4.49,,0.00,377.73,24.72,131.30,0.00
Cinerad Communic,530457,,Entertainment / Electronic Media Software,2.61,45.39,0.00,12.50,0.00,1.04,-3.73,-3.76,,0.00,1.36,0.07,26.68,0.00
Cinevista,532324,CINEVISTA,Entertainment / Electronic Media Software,16.55,67.61,0.84,3.57,0.38,0.69,-2.71,-6.59,,0.00,95.08,0.21,25.60,0.00
Cipla,500087,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,915.95,36.72,20317.78,2.70,0.10,4.03,17.58,14.11,29.07,0.55,73885.44,1401.23,1005.00,16.77
Cistro Telelink,531775,,Trading,0.39,0.78,0.20,0.09,0.02,0.45,-1.53,-1.56,,0.00,2.00,0.03,10.00,0.00
Citadel Realty,502445,,Construction,14.33,64.94,2.31,74.66,1.77,1.20,8.60,5.21,22.62,0.00,11.31,0.06,47.51,0.00
CitiPort Fin.,531235,,Finance & Investments,16.80,29.01,0.33,45.46,0.92,1.72,0.45,0.66,521.00,0.00,5.21,4.16,38.40,0.00
City Online Ser.,538674,,Miscellaneous,7.79,14.75,8.60,0.50,1.77,,-40.63,-504.76,,0.00,4.02,1.24,42.20,0.00
City Pulse Multi,542727,,Entertainment / Electronic Media Software,26.20,39.78,0.05,1.65,0.36,1.56,-10.90,-14.80,,0.00,8.69,0.64,34.40,0.00
City Union Bank,532210,CUB,Banks - Private Sector,169.45,0.00,4082.76,4.72,7.85,2.14,6.00,10.64,20.46,0.30,12519.34,5615.06,249.35,3.74
Cityman,521210,,Textiles - Products,3.80,71.81,0.00,366.00,,,-3.01,,,0.00,4.45,0.00,35.00,0.00
CL Educate,540403,CLEDUCATE,Miscellaneous,91.60,50.70,189.35,3.46,0.17,0.95,-2.74,-4.21,,0.00,259.52,29.65,237.48,0.00
Clariant Chemica,506390,CLNINDIA,Chemicals,607.55,51.00,814.54,1.82,0.00,3.44,11.80,7.11,28.10,10.70,1402.33,32.24,1185.00,215.30
Class. Gl. Fin.,538433,,Finance & Investments,0.36,21.54,0.36,5.04,0.08,0.22,0.44,0.34,132.00,0.00,1.32,0.06,47.70,0.00
Classic Filament,540310,,Trading,4.37,11.18,0.25,1.27,0.06,0.44,-1.42,-1.47,,0.00,2.67,0.04,17.85,0.00
Classic Leasing,540481,,Finance & Investments,8.51,33.49,0.11,4.68,2.11,0.87,0.00,0.00,,0.00,2.55,0.23,19.89,
Clean Science,543318,CLEAN,Chemicals,2280.60,78.51,512.43,1.60,0.00,44.86,60.52,45.01,121.97,0.00,24224.30,15.57,2353.90,133.83
CLIO Infotech,530839,,Computers - Software - Medium / Small,3.27,6.93,0.11,13.50,0.67,0.32,0.21,-3.84,,0.00,3.60,0.22,9.19,0.00
CMI,517330,CMICABLES,Cables - Telephone,45.05,41.17,202.62,2.65,2.50,0.58,-6.31,-24.69,,0.00,72.20,18.92,423.90,0.00
CMM Infraproj,,CMMIPL,Construction,16.00,63.13,51.92,5.28,0.82,0.44,7.83,0.42,104.50,0.00,25.08,5.73,105.40,0.00
CNI Research,512018,,Finance & Investments,1.88,37.11,3.95,5.00,0.00,2.76,-54.04,-54.04,,0.00,21.58,0.35,25.50,0.00
Coal India,533278,COALINDIA,Mining / Minerals / Metals,193.30,66.13,96821.39,1.67,0.16,3.26,46.07,36.99,8.64,8.28,119125.54,17310.30,447.25,77.64
Coastal Corporat,501831,COASTCORP,Aquaculture,289.15,36.12,470.07,1.59,0.79,1.76,10.69,11.54,16.92,1.04,308.78,48.63,443.15,0.00
Coastal Roadways,520131,,Miscellaneous,16.12,74.99,38.28,4.31,0.07,0.55,-2.99,-5.47,41.81,0.00,6.69,0.88,46.60,0.00
Cochin Malabar,508571,,Miscellaneous,35.65,62.72,0.00,4.00,,,-19.77,,,0.00,6.31,0.04,138.31,0.00
Cochin Minerals,513353,,Chemicals,127.55,52.31,213.89,3.75,0.10,1.17,22.70,9.97,21.29,0.00,99.87,1.44,347.50,0.00
Cochin Shipyard,540678,COCHINSHIP,Miscellaneous,373.80,72.86,2815.84,1.73,0.03,1.24,21.82,15.83,8.20,4.15,4916.98,2146.38,599.00,33.42
Coffee Day Enter,539436,COFFEEDAY,Hotels,31.40,14.88,733.42,6.30,0.48,0.18,-5.87,-10.48,,0.00,663.33,46.48,374.90,0.00
Coforge,532541,COFORGE,Computers - Software - Medium / Small,5279.40,55.73,5067.40,2.52,0.00,12.98,25.72,19.31,64.10,0.25,32002.98,812.20,5834.45,17.29
Colgate-Palmoliv,500830,COLPAL,Personal Care - Multinational,1706.15,51.00,4966.57,0.86,0.08,39.80,92.00,75.07,43.35,2.23,46404.83,867.64,1823.40,99.83
Colinz Labs,531210,,Pharmaceuticals - Indian - Formulations,21.80,36.42,6.60,4.59,0.14,1.37,4.39,2.97,43.30,0.00,9.96,4.68,30.45,0.00
Colorchips New,540023,,Entertainment / Electronic Media Software,37.80,74.88,2.51,2.52,0.00,2.15,-9.32,-11.84,,0.00,64.30,0.14,640.00,0.00
Comfort Comtrade,534691,,Finance & Investments,16.56,46.92,87.14,4.43,0.13,0.56,54.89,49.24,2.32,0.00,16.59,5.09,45.95,0.00
Comfort Fincap,535267,,Finance & Investments,62.70,54.63,10.89,0.22,0.75,1.67,13.01,10.82,16.88,0.00,68.04,0.26,455.00,0.00
Comfort Intech,531216,,Breweries & Distilleries,32.40,55.05,97.15,4.81,0.10,0.95,5.75,9.85,8.50,0.00,103.66,9.25,183.90,0.00
Commercial Eng.,533272,CEBBCO,Engineering,35.05,60.65,389.21,1.48,0.43,2.68,12.37,11.14,28.15,0.00,313.64,9.26,144.80,0.00
Commerl. Synbags,539986,,Packaging,140.00,61.15,253.89,4.16,0.99,2.10,13.31,16.41,11.48,1.43,165.44,6.05,164.00,19.52
Competent Auto,531041,,Trading,205.10,74.92,1276.33,11.35,0.62,0.47,8.41,6.68,7.02,0.49,126.14,62.55,334.95,3.64
Compuage Info.,532456,COMPINFO,Computers - Hardware,27.25,58.33,3835.36,3.62,2.57,0.76,12.02,9.23,8.31,0.73,177.06,71.56,65.00,6.35
Compucom Soft.,532339,COMPUSOFT,Computers - Education,19.20,74.44,19.17,15.01,0.02,1.20,2.40,1.53,30.38,1.56,151.92,58.65,34.20,121.54
Computer Point,507833,,Trading,1.28,1.83,0.07,167.53,0.00,0.11,0.03,0.00,29.54,0.00,3.84,0.72,18.51,
Conart Engineers,522231,,Construction,36.00,44.54,24.75,3.11,0.00,0.53,2.77,2.00,12.84,0.00,11.30,1.25,64.90,0.00
Concord Drugs,538965,,Pharmaceuticals - Indian - Bulk Drugs & Formln,32.50,44.38,53.38,5.14,0.48,1.06,5.36,1.59,30.23,0.00,28.42,0.06,91.25,0.00
Confidence Finan,504340,,Trading,4.96,13.00,0.70,0.15,0.07,0.23,0.09,0.00,508.00,0.00,5.08,0.01,332.00,
Confidence Petro,526829,CONFIPET,Miscellaneous,90.70,57.40,991.92,13.57,0.16,4.83,12.92,10.02,34.85,0.11,2575.99,17.66,93.35,5.79
Cons. Finvest,,CONSOFINVT,Finance & Investments,173.85,71.54,20.05,42.68,0.00,0.39,35.64,33.64,1.26,0.00,562.65,64.83,186.70,0.00
Constronics,523844,,Healthcare,8.40,18.47,2.22,0.19,39.50,302.78,-9.36,-133.33,,0.00,6.06,0.12,41.25,0.00
Cont. Chemicals,506935,,Computers - Software - Medium / Small,396.30,61.57,0.27,2.48,0.04,23.83,5.21,3.83,557.06,0.00,89.13,2.07,417.15,0.00
Cont. Controls,531460,,Electric Equipment,11.36,24.56,6.98,2.24,0.79,1.33,3.47,-2.26,,0.00,6.98,0.60,16.20,0.00
Cont. Petroleums,523232,,Chemicals,49.15,34.41,119.36,2.23,0.67,2.05,18.61,18.39,9.62,0.00,27.33,2.11,63.95,0.00
Cont. Securities,538868,,Finance & Investments,17.10,40.04,0.91,20.00,0.00,1.14,9.39,6.85,17.73,0.00,7.27,0.06,22.55,0.00
Container Corpn.,531344,CONCOR,Miscellaneous,698.05,54.80,7052.82,2.39,0.01,4.17,7.75,4.99,60.44,0.72,42531.79,2492.81,754.40,60.31
Contil India,531067,,Trading,19.45,40.79,14.75,5.53,0.00,0.99,14.65,10.99,7.91,0.00,6.01,0.52,21.85,0.00
Continental Seed,,CONTI,Miscellaneous,7.00,72.27,95.36,1.10,0.63,0.58,6.54,3.46,17.07,0.00,7.00,0.36,61.32,0.00
Control Print,522295,CONTROLPR,Packaging,324.10,51.78,223.15,3.93,0.00,2.27,17.55,14.11,16.57,2.62,529.31,6.19,554.00,47.78
Coral India Fin.,531556,CORALFINAC,Finance - Housing,45.10,75.00,20.21,4.30,0.00,1.43,12.87,10.62,13.23,1.11,181.76,3.15,106.50,15.57
Coral Labs.,524506,,Pharmaceuticals - Indian - Formulations,410.45,71.51,98.08,5.15,0.05,1.07,13.52,10.73,10.41,0.00,146.53,34.83,1190.00,0.00
Coral Newsprints,530755,,Paper,4.11,22.17,6.28,0.37,,,,,,0.00,2.08,0.06,16.00,0.00
Cords Cable,532941,CORDSCABLE,Cables - Power,57.00,51.64,362.76,3.57,0.57,0.50,12.69,2.98,12.97,0.00,73.69,18.35,155.90,0.00
Coromandel Engg.,533167,COROENGG,Construction,35.95,74.52,127.04,1.71,1.51,5.83,-6.72,-45.08,,0.00,119.46,0.04,90.70,0.00
Coromandel Inter,506395,COROMANDEL,Fertilizers,852.80,57.56,14664.12,1.99,0.07,4.86,31.95,28.15,17.67,1.41,25024.07,722.09,956.00,26.49
Corporate Courie,526737,,Couriers,6.51,5.99,1.45,2.51,0.10,7.56,1.92,55.10,21.32,0.00,4.69,0.04,22.20,0.00
COSCO (India),530545,,Trading,153.30,74.98,147.90,7.89,1.10,1.46,11.85,10.73,15.44,0.00,63.77,2.26,442.90,0.00
Cosmo Ferrites,523100,,Electronics - Components,165.55,63.49,76.18,1.55,2.57,11.33,6.77,11.15,41.75,0.00,199.16,1.44,175.10,0.00
Cosmo Films,508814,COSMOFILMS,Packaging,1526.50,44.23,2491.49,2.17,0.89,3.25,23.22,29.22,10.03,1.64,2774.06,74.89,1610.85,19.17
Cospower Engine.,543172,,Electric Equipment,82.65,73.33,11.91,2.71,0.93,1.97,15.49,11.95,17.22,1.21,12.40,0.53,87.00,20.55
COSYN,538922,,Computers - Software - Medium / Small,33.15,56.15,15.95,3.41,0.01,0.92,-0.57,-1.47,,0.00,24.86,6.28,252.00,0.00
Country Club Hos,526550,CCHHL,Hotels,7.70,73.80,53.15,0.24,0.37,0.33,-2.99,-12.16,,0.00,125.87,5.83,222.00,0.00
Country Condo,531624,COUNCODOS,Construction,3.95,53.86,14.20,2.44,0.02,1.57,3.50,2.43,14.19,0.00,30.65,2.97,9.80,0.00
Covidh Technolog,534920,,Computers - Software - Medium / Small,0.81,26.35,0.00,1.60,59.64,,-4.66,,,0.00,0.86,0.00,152.00,0.00
Cox & Kings,533144,COX&KINGS,Travel Agencies,1.60,12.20,0.08,0.01,,,,,,0.00,28.25,23.32,333.67,0.00
Craftsman Auto,543276,CRAFTSMAN,Auto Ancillaries,2267.05,59.76,1546.29,1.46,0.72,4.90,14.72,11.27,49.69,0.00,4789.89,41.73,2328.00,0.00
Crane Infra,538770,,Construction,9.25,46.50,0.37,4.55,0.03,0.24,0.87,0.68,67.00,0.00,6.70,0.32,30.00,0.00
Cranes Software,512093,CRANESSOFT,Computers - Software - Medium / Small,3.10,6.39,54.32,0.28,,,-19.47,,,0.00,36.51,3.18,174.00,0.00
Cranex,522001,,Engineering,18.40,42.92,40.80,1.92,2.32,1.29,6.43,9.02,12.84,0.00,11.04,0.06,24.95,0.00
Cravatex,509472,,Trading,368.00,75.00,593.93,2.06,3.74,2.84,-8.03,-62.36,,0.82,94.94,36.07,799.00,-2.52
Creative Casting,539527,,Castings & Forgings,369.25,74.96,31.00,3.91,0.00,1.67,13.19,9.58,15.84,2.71,48.00,0.55,480.95,45.94
Creative Eye,532392,CREATIVEYE,Entertainment / Electronic Media Software,4.25,56.26,4.05,6.96,0.21,0.36,0.66,-1.14,,0.00,8.53,12.37,41.85,0.00
Creative Newtech,,CREATIVE,Trading,263.85,68.95,577.77,1.35,0.81,5.81,22.45,22.67,22.88,0.19,306.07,4.16,279.45,0.00
CreditAcc. Gram.,541770,CREDITACC,Finance & Investments,674.80,73.91,2027.82,7.47,2.42,2.89,8.20,4.52,96.95,0.00,10510.98,1945.97,1000.80,0.00
Crescent Leasing,539131,,Finance & Investments,3.23,12.71,1.25,1.00,1.03,0.28,0.63,0.21,131.00,0.00,1.31,0.13,422.00,0.00
Cressanda Solns.,512379,,Computers - Software - Medium / Small,1.95,30.12,0.12,5.00,0.00,2.45,0.00,0.00,1184.00,0.00,59.20,0.15,65.00,
Crest Ventures,511413,CREST,Finance & Investments,126.65,65.83,53.82,3.70,0.21,0.62,2.63,0.52,450.40,0.39,360.32,12.20,496.56,47.65
Crestchem,526269,,Chemicals,46.00,31.59,7.63,3.29,0.42,9.26,45.75,47.30,20.91,0.00,13.80,0.97,75.85,0.00
CRISIL,500092,CRISIL,Miscellaneous,3014.25,66.99,2105.94,1.65,0.00,15.30,37.45,28.14,57.07,1.09,21949.20,278.68,3330.00,67.54
Croissance Ltd,531909,,Construction,9.30,59.74,0.06,3.92,0.06,89.29,0.41,0.28,1593.75,0.00,63.75,0.00,32.85,0.00
Crompton Gr. Con,539876,CROMPTON,Electric Equipment,481.50,5.99,5082.93,1.55,0.25,15.76,35.61,35.71,48.45,1.14,30239.52,594.52,512.80,57.09
Crown Lifters,,CROWN,Miscellaneous,152.85,73.49,12.18,9.55,0.76,1.67,2.78,-8.00,,0.00,31.82,1.67,162.00,0.00
Crown Tours,538521,,Travel Agencies,26.25,62.12,1.95,93.75,0.00,2.15,-2.75,-1.83,814.00,0.00,8.14,0.08,101.25,0.00
CSB Bank,542867,CSBBANK,Banks - Private Sector,314.85,49.72,1944.96,4.07,9.43,2.51,5.93,10.55,24.19,0.00,5462.20,1714.07,374.00,0.00
CSL Finance,530067,,Finance & Investments,143.90,57.37,62.45,5.52,0.33,1.03,13.78,11.20,9.68,2.08,266.32,20.90,261.66,6.68
Cubex Tubings,526027,CUBEXTUB,Mining / Minerals / Metals,24.20,44.42,86.57,2.46,0.02,0.58,4.12,2.26,21.26,0.00,34.65,1.05,122.10,0.00
Cubical Finan,511710,,Finance & Investments,1.32,30.80,1.29,332.00,0.00,0.65,2.14,1.61,22.63,0.00,8.60,0.14,34.75,0.00
Cummins India,500480,CUMMINSIND,Engines,899.40,51.00,5052.17,2.70,0.01,5.36,17.96,14.38,34.39,1.67,24931.37,965.26,1247.65,65.48
Cupid,530843,CUPID,Miscellaneous,238.65,45.06,153.99,3.56,0.00,2.43,29.17,24.74,10.98,1.89,318.31,19.28,422.50,20.70
Cybele Industrie,531472,,Cables - Power,7.46,72.45,24.75,1.02,0.24,0.29,2.38,-1.62,61.38,0.00,7.98,0.75,49.40,0.00
Cyber Media Ind,532640,CYBERMEDIA,Entertainment / Electronic Media Software,10.15,61.79,45.58,0.87,,,27.82,,530.00,0.00,15.90,3.00,183.70,0.00
Cybertech Sys.,532173,CYBERTECH,Computers - Software - Medium / Small,171.25,36.94,120.86,2.72,0.06,4.20,19.92,22.34,21.09,0.58,482.21,18.76,208.45,11.46
Cyient,532175,CYIENT,Computers - Software - Medium / Small,1092.70,23.45,4198.90,3.69,0.20,4.07,15.29,13.19,30.30,1.56,12041.75,1465.00,1148.00,51.40
D & H India,517514,,Electrodes - Welding Equipment,22.20,48.92,75.45,3.97,0.51,0.56,0.96,-2.65,35.72,0.00,16.43,0.35,46.80,0.00
D B Corp,533151,DBCORP,Entertainment / Electronic Media Software,98.60,71.81,1601.55,3.56,0.14,0.95,10.10,7.65,10.93,3.04,1725.17,312.21,447.85,37.12
D B Realty,533160,DBREALTY,Construction,35.75,62.91,30.25,1.51,1.78,0.63,-0.09,-11.32,,0.00,869.65,20.38,540.10,0.00
D P Wires,,DPWIRES,Steel - Medium / Small,218.95,70.38,556.49,5.67,0.06,2.42,28.88,21.76,10.26,0.00,297.07,5.27,312.20,0.00
D-Link India,533146,DLINKINDIA,Computers - Hardware,149.10,51.02,763.91,2.16,0.03,1.99,16.46,12.33,13.94,1.21,529.38,61.97,251.80,20.38
D. P. Abhushan,,DPABHUSHAN,Diamond Cutting / Jewellery,223.00,74.73,1351.95,2.71,1.63,5.11,22.49,32.87,17.44,0.00,496.28,11.08,239.00,0.00
Dabur India,500096,DABUR,Personal Care - Indian,616.80,67.36,10193.21,1.57,0.07,14.23,27.27,23.73,60.96,0.77,109041.39,1329.03,658.95,49.58
Dai-ichi Karkari,526821,DAICHIKARK,Chemicals,411.75,63.82,114.26,1.93,0.12,1.80,-8.24,-16.48,,0.73,306.75,15.38,625.00,4.42
Daikaffil Chem,530825,,Dyes And Pigments,29.25,31.41,11.53,9.42,0.02,0.69,-1.51,-1.59,,0.00,17.55,10.07,94.00,0.00
Dalal Street Inv,501148,,Finance & Investments,247.55,74.68,0.83,67.50,0.87,1.68,5.80,3.19,20.31,0.00,7.92,3.15,11846.40,0.00
Dalmia Bharat,500097,DALMIASUG,Sugar,462.50,74.91,2632.68,3.89,0.45,1.75,14.50,14.67,13.93,0.65,3743.94,79.78,605.86,8.98
Dalmia BharatLtd,542216,DALBHARAT,Cement - South India,2066.35,55.97,11002.00,0.97,0.31,3.06,10.16,10.44,30.49,0.06,38665.03,311.00,2548.40,2.00
Damodar Indust.,521220,DAMODARIND,Textiles - Spinning - Synthetic / Blended,43.60,70.63,715.46,11.66,3.42,1.05,3.82,-11.58,20.36,0.00,101.59,0.92,81.41,0.00
Dangee Dums,,DANGEE,Food - Processing - Indian,189.85,64.45,13.44,1.24,0.92,10.29,-14.06,-31.00,,0.00,194.88,1.07,226.00,0.00
