Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
Kesar Terminals,533289,KTIL,Miscellaneous,51.20,61.13,44.50,0.75,897.80,223.77,2.42,-206.37,,2.93,55.94,1.94,344.72,-6.98
Kesoram Inds.,502937,KESORAMIND,Cement - North India,69.30,45.97,3080.88,0.85,7.23,6.25,15.07,413.91,4.35,0.00,1696.54,111.94,415.96,0.00
Kewal Kir.Cloth.,532732,KKCL,Textiles - Products,986.95,74.25,387.77,2.88,0.14,2.76,5.84,4.54,32.73,2.33,1216.91,167.60,2380.00,143.23
Key Corp,507948,,Finance & Investments,48.95,69.08,15.76,0.98,0.00,0.72,39.41,37.35,2.06,0.00,29.37,0.18,85.50,0.00
Keynote Finan.,512597,KEYFINSERV,Finance & Investments,79.05,57.88,24.05,6.32,0.30,0.65,13.93,14.19,4.07,1.27,55.49,35.01,238.65,4.97
KG Petrochem,531609,,Textiles - Products,415.00,74.66,352.40,3.29,0.88,1.48,10.59,11.34,7.41,0.00,216.63,1.42,443.50,0.00
Khadim India,540775,KHADIM,Leather / Leather Products,229.85,61.07,654.01,1.88,1.22,2.06,-2.92,-14.14,,0.00,413.03,3.90,862.70,0.00
Khaitan (India),590068,KHAITANLTD,Trading,39.90,60.25,45.28,0.62,0.88,0.94,1.08,-26.24,,0.00,18.95,0.12,94.40,0.00
Khaitan Chemical,507794,KHAICHEM,Fertilizers,69.55,75.00,499.61,2.92,0.45,3.87,19.14,15.26,18.08,0.36,674.56,6.24,81.00,9.73
Khandelwal Extra,519064,,Solvent Extraction,9.95,38.54,0.00,4.40,0.67,0.47,-9.62,-13.54,,0.00,0.85,0.63,13.96,0.00
Khandwala Sec.,531892,KHANDSE,Finance & Investments,16.90,60.79,4.28,0.96,0.35,1.01,-3.41,-7.66,,0.00,20.18,6.37,133.00,0.00
Khemani Distrib.,539788,,Trading,34.30,27.35,61.30,3.58,0.11,2.76,45.90,38.42,7.18,0.00,78.80,0.36,98.00,0.00
KHFM Hospitality,,KHFM,Hotels,61.95,71.20,114.98,4.78,0.90,1.73,11.25,9.39,18.43,0.00,60.09,7.18,63.75,0.00
Khoday India,507435,,Breweries & Distilleries,74.65,,155.35,4.94,17.63,16.52,4.57,20.94,100.91,0.00,251.27,34.92,425.05,0.00
Khoobsurat Ltd,535730,,Textiles - Products,0.25,9.25,0.00,23.53,0.00,0.13,0.04,0.04,47.43,0.00,3.32,0.17,31.51,0.00
Khyati Multimed.,531692,,Entertainment / Electronic Media Software,0.90,16.79,0.05,3.00,0.00,0.45,-5.10,-4.08,,0.00,0.97,0.01,18.70,0.00
